postgres	postgres	car_shop_db	information_schema	referential_constraints	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	referential_constraints	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	referential_constraints	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	referential_constraints	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_stat_sys_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	role_column_grants	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	role_column_grants	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_stat_user_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	role_routine_grants	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	role_routine_grants	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_statio_all_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	role_table_grants	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	role_table_grants	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_statio_sys_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	role_usage_grants	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	role_usage_grants	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_statio_user_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_stat_all_indexes	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_stat_sys_indexes	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_statio_user_indexes	SELECT	NO	NO
