float84div	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 700					float84div			
float84pl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 700					float84pl			
float84mi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 700					float84mi			
float4eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 700					float4eq			
float4ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 700					float4ne			
float4lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 700					float4lt			
float4le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 700					float4le			
float4gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 700					float4gt			
float4ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 700					float4ge			
float8eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 701					float8eq			
float8ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 701					float8ne			
float8lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 701					float8lt			
float8le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 701					float8le			
float8gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 701					float8gt			
float8ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 701					float8ge			
float48eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 701					float48eq			
float48ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 701					float48ne			
float48lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 701					float48lt			
float48le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 701					float48le			
float48gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 701					float48gt			
float48ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	700 701					float48ge			
float84eq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 700					float84eq			
float84ne	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 700					float84ne			
float84lt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 700					float84lt			
float84le	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 700					float84le			
float84gt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 700					float84gt			
float84ge	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	701 700					float84ge			
width_bucket	11	10	12	1	0	0	false	false	false	true	false	i	4	0	23	701 701 701 23					width_bucket_float8			
float8	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	700					ftod			
float4	11	10	12	1	0	0	false	false	false	true	false	i	1	0	700	701					dtof			
int4	11	10	12	1	0	0	false	false	false	true	false	i	1	0	23	21					i2toi4			
int2	11	10	12	1	0	0	false	false	false	true	false	i	1	0	21	23					i4toi2			
int2vectoreq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	22 22					int2vectoreq			
float8	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	23					i4tod			
int4	11	10	12	1	0	0	false	false	false	true	false	i	1	0	23	701					dtoi4			
float4	11	10	12	1	0	0	false	false	false	true	false	i	1	0	700	23					i4tof			
int4	11	10	12	1	0	0	false	false	false	true	false	i	1	0	23	700					ftoi4			
btgettuple	11	10	12	1	0	0	false	false	false	true	false	v	2	0	16	2281 2281					btgettuple			
btgetbitmap	11	10	12	1	0	0	false	false	false	true	false	v	2	0	20	2281 2281					btgetbitmap			
btinsert	11	10	12	1	0	0	false	false	false	true	false	v	6	0	16	2281 2281 2281 2281 2281 2281					btinsert			
btbeginscan	11	10	12	1	0	0	false	false	false	true	false	v	3	0	2281	2281 2281 2281					btbeginscan			
btrescan	11	10	12	1	0	0	false	false	false	true	false	v	2	0	2278	2281 2281					btrescan			
btendscan	11	10	12	1	0	0	false	false	false	true	false	v	1	0	2278	2281					btendscan			
btmarkpos	11	10	12	1	0	0	false	false	false	true	false	v	1	0	2278	2281					btmarkpos			
btrestrpos	11	10	12	1	0	0	false	false	false	true	false	v	1	0	2278	2281					btrestrpos			
